name,owners,price,score,positive,negative,recommendations,playtime,genres
Return to Shironagasu Island,75000,4.99,0,1885,64,1831,261,Adventure
Airborne Kingdom,35000,24.99,0,832,122,932,284,"Casual,Indie,Simulation,Strategy"
Alone in the Dark 1,35000,14.99,0,254,21,229,0,"Action,Adventure"
Supreme Commander: Forged Alliance,1500000,12.99,0,10377,332,7194,598,Strategy
Blameless,350000,0.0,0,3750,712,105,42,"Adventure,Free to Play,Indie"
DIRT 5,150000,59.99,0,2741,2507,2285,1042,"Action,Adventure,Casual,Racing,Sports"
Class of '09,10000,9.99,0,106,14,114,0,"Casual,Indie,RPG,Simulation"
SUPER CHICKEN JUMPER,75000,2.99,0,2163,55,2039,220,"Action,Adventure,Casual,Indie,Racing"
To The Rescue!,75000,19.99,0,847,390,1071,231,"Casual,Indie,Simulation"
Jets'n'Guns 2,75000,14.99,0,983,80,966,306,"Action,Indie"
Putin kills: Coronavirus,10000,0.99,0,120,23,102,0,"Action,Adventure,Indie"
Blazing Sails,150000,10.49,0,5118,646,4314,713,"Action,Adventure,Casual,Indie,Early Access"
WWE 2K22,150000,38.99,0,4253,1657,4540,2633,"Simulation,Sports"
Hentai Case Opening,10000,0.99,63,54,29,205,0,"Casual,Indie"
Righty Tighty XL,10000,0.99,0,115,4,105,2,"Action,Casual,Indie"
Ages of Mages: The last keeper,10000,11.99,0,141,36,157,0,"Action,Adventure,Casual,Indie,RPG"
City Car Driving,750000,24.99,0,13954,3162,15683,743,"Indie,Racing,Simulation"
Eaten Alive,350000,1.99,0,173,315,304,233,Indie
FINAL FANTASY V (Old ver.),150000,0.0,0,1058,321,1210,549,RPG
Inglorious Waifu VS Nazi Zombies,75000,1.99,0,240,12,165,0,"Action,Indie"
Mirror Party,150000,1.99,0,871,296,1122,420,"Action,Casual,Indie,Simulation,Strategy,Early Access"
Splendor,75000,9.99,0,709,162,588,360,"Casual,Strategy"
Command & Conquer™ Generals Zero Hour,0,0.0,0,0,0,800,0,"Action,Strategy"
Call of Duty®: Modern Warfare® II,3500000,69.99,0,16018,12744,28253,727,Action
DisplayFusion,150000,34.99,0,857,114,810,15,Utilities
Ys IX -Monstrum NOX-,10000,38.49,0,119,12,108,0,"Action,RPG"
Cat on a Diet,150000,4.99,0,660,147,481,216,"Action,Casual,Indie"
Rot Gut,75000,1.99,0,232,41,207,0,"Action,Adventure,Indie"
Adam - Lost Memories,10000,9.99,0,139,29,118,0,"Action,Adventure,Indie"
Royal Heroes,150000,9.99,0,234,63,193,392,"Casual,Indie,RPG,Strategy"
Reactor Tech²,75000,14.99,0,181,87,261,0,"Indie,Simulation,Strategy"
This Bed We Made,35000,24.99,0,544,42,562,0,"Adventure,Indie"
Krautscape,35000,6.99,0,158,78,157,124,"Indie,Racing"
Zedfest,10000,14.99,0,127,14,128,0,"Action,Indie,Early Access"
Has-Been Heroes,75000,19.99,0,278,87,250,1390,"Action,Indie,RPG,Strategy"
UFO: Aftershock,75000,3.99,0,139,46,161,2063,Strategy
Choice of Rebels: Uprising,10000,6.99,0,108,9,113,0,"Adventure,Indie,RPG"
WARRIORS OROCHI 3 Ultimate Definitive Edition,75000,39.99,0,494,68,526,0,"Action,Strategy"
COLLAPSED,35000,14.99,0,130,50,134,67,"Action,Indie"
BADLAND: Game of the Year Edition,350000,9.99,0,2301,362,2232,322,"Action,Adventure,Indie"
Roundguard,150000,19.99,0,300,44,287,549,"Casual,Indie,RPG,Strategy"
Crystalline,75000,19.99,0,1249,63,1218,0,"Action,Adventure,Indie,RPG,Simulation"
This Is the Police 2,350000,14.99,0,3727,1238,4035,786,"Adventure,Indie,Strategy"
Koi Farm,35000,2.99,0,535,22,511,607,"Casual,Indie,Simulation"
Quake 4,350000,14.99,0,2078,294,1847,429,Action
寂寞神明的心愿手记,35000,9.99,0,220,41,241,0,"Adventure,Indie,RPG"
Kingspray Graffiti VR,150000,14.99,0,628,109,693,585,Simulation
SANABI,10000,14.99,0,792,20,741,232,"Action,Adventure,Indie,Early Access"
